x,y,title,objectID
24.035278,-30.304617,Orphrey,157612
-0.09197435,-5.5525002,Solidus,462739
1.1365145,-7.5228314,Gold Solidus of Theodosius II (408–50),462740
0.17261215,-5.6566677,Solidus,462741
2.764957,-6.23857,Solidus of Heraclius and Heraclius Constantine,462742
1.7565639,-7.5167127,"Solidus of Heraclius, Heraclius Constantine, and Heraclonas",462743
-26.40286,-36.720642,Panel with John the Baptist and other saints,462744
0.2982432,-5.2404146,Solidus,462765
0.9068954,-5.28645,Solidus,462766
2.1228995,-4.844657,Solidus,462767
1.7830893,-7.29586,Gold Solidus of Constans II (641–68),462768
0.57365775,-5.4230695,Solidus,462769
-0.06841093,-6.0661173,Gold Tremissis of Emperor Justinian I,462770
-43.056793,28.821949,Olearium,462771
-6.7787504,-42.577038,Chest Front,462773
-34.071587,-34.187153,Pietà (Lamentation),462776
-16.673893,-43.54164,Chest Front,462778
-26.273712,-35.11361,Chest Front,462780
28.708496,15.9086685,Cassone,462786
-16.59159,-43.531643,Chest Front,462787
-33.924397,-20.578579,Boss or Volute,462789
22.47712,-28.369522,Altar Frontal Textile,462800
16.2665,-45.433887,Ascoli Cope,462871
-4.251789,-45.246635,Panel with Coat of Arms,462872
-3.9592383,-45.34076,Panel with Coat of Arms,462873
-50.492943,18.140148,Beaker with Cobalt Trailing,462874
-47.56936,17.282906,Beaker,462875
-52.11373,18.070637,Beaker,462876
-49.017944,19.23799,Beaker,462877
-8.946282,-35.578354,Cabinet,462880
-33.71717,-35.171463,Nativity,462886
-49.269947,-20.384598,Female Saint,462887
-41.30519,-19.226776,Descent from the Cross,462888
-1.8767503,36.600113,Key or Key Handle,462890
6.318244,38.10759,Key Handle,462891
2.362048,40.757927,Key,462892
-8.016133,36.79011,Key Handle,462893
-11.631947,38.53082,Key Handle,462894
1.5869524,38.895405,Key Handle,462895
-6.20024,30.632309,Key Handle,462896
9.318416,35.35199,Key Handle,462897
10.026843,34.881718,Key Handle,462898
12.319217,36.1578,Key Handle,462899
10.155368,34.368176,Key Handle,462900
-0.5407461,35.200027,Key Handle,462901
-2.805204,36.402515,Key-Handle,462902
0.9633203,39.1435,Key Handle,462903
26.259903,35.891937,Key Handle,462904
-34.653023,37.131157,Key Handle,462905
10.069891,38.616722,Key Handle,462906
13.788896,34.592922,Key Handle in the Form of a Horse’s Head,462907
14.262111,24.864822,Key Handle or Knife Handle,462908
13.932566,35.185703,Key Handle,462909
11.540128,40.82662,Key Handle,462910
12.657707,35.017616,Key Handle,462911
11.780675,35.31463,Key Handle,462912
3.13005,32.18347,Key-Handle,462913
11.695711,39.668312,Key Handle,462914
10.272271,38.674824,Key Handle,462915
12.219395,40.62211,Key Handle,462916
13.575949,31.583183,Key Handle,462917
8.549154,39.51337,Key Handle,462918
11.488032,33.77657,Key Handle,462919
13.601824,34.419106,Key Handle,462920
13.03858,32.063347,Key Handle or Knife Handle,462921
7.2847137,36.292835,Top of Key Handle,462922
16.428703,30.71955,Fragment of Key Handle,462923
0.80837417,35.803936,Key Handle,462924
13.49295,31.569958,Top of Key Handle,462925
11.326857,39.928448,Key Handle,462926
11.798914,32.8644,Key Handle,462927
12.067779,38.88227,Key Handle,462928
6.899086,39.427967,Key Handle,462929
11.722381,39.261578,Key Handle,462930
8.611665,39.133896,Key Handle,462931
11.749701,34.917408,Key Handle,462932
13.138041,34.66491,Key Handle,462933
11.67077,39.503155,Key Handle,462934
